CATEGORY,ITEM
DATABASE PROGRAMMING  [A15],SQL
DATABASE PROGRAMMING  [A15],PERFORMANCE_INDICATORS
DATABASE PROGRAMMING  [A15],DATA_MODELS
DATA MINING [A7],DATA_MODELING
DATA MINING [A7],INTERPRET_DATA
DATA MINING [A7],DATA_MANAGEMENT
DATA MINING [A7],BUSINESS_DATA
DATA MINING [A7],DATA_MINING
DATA MINING TOOLS [A8],GOOGLE_ANALYTICS
DATA MINING TOOLS [A8],ANALYTICAL_TOOLS
DATA MINING TOOLS [A8],BI_TOOLS
DATA MINING TOOLS [A8],ANALYTICS_TOOLS
DATA MINING TOOLS [A8],BUSINESS_INTELLIGENCE_TOOLS
STATISTICS [A41],STATISTICS
STATISTICS [A41],STATISTICAL_ANALYSIS
DATA PREPARATION [A9],UNSTRUCTURED_DATA
DATA PREPARATION [A9],RAW_DATA
DATA PREPARATION [A9],DATA_QUALITY
MODELING EXPERIENCE [A31],EXPERIENCE_BUILDING
MODELING EXPERIENCE [A31],EXPERIENCE_IN_DATA
MODELING EXPERIENCE [A31],EXPERIENCE_WITH_DATA
MODELING EXPERIENCE [A31],ANALYSIS_EXPERIENCE
BUSINESS ANALYTICS DEPLOYMENT [S3],MAKE_AN_IMPACT
BUSINESS ANALYTICS DEPLOYMENT [S3],DEVELOP_AND_IMPLEMENT
BUSINESS ANALYTICS DEPLOYMENT [S3],SUPPORT_BUSINESS
FORECASTING [A25],FORECAST
FORECASTING [A25],PREDICTIVE_ANALYTICS
FORECASTING [A25],PREDICT
DATABASE TOOLS [A16],DATA_GOVERNANCE
DATABASE TOOLS [A16],DATABASE
CLOUD INFRASTRUCTURE  [A4],CLOUD_BASED
CLOUD INFRASTRUCTURE  [A4],CLOUD
PROGRAMMING LANGUAGES  [A36],PROGRAMMING_LANGUAGES
PROGRAMMING LANGUAGES  [A36],R
PROGRAMMING LANGUAGES  [A36],C++
PROGRAMMING LANGUAGES  [A36],PYTHON
IDENTIFY BUSINESS PROBLEMS/SOLUTIONS [S9],DECISION MAKING
BUSINESS STRATEGY [S5],DECISION MAKING
COMMUNICATION SKILLS [S6],CLASS DISCUSSIONS
COMMUNICATION SKILLS [S6],CASE DISCUSSIONS
COMMUNICATION SKILLS [S6],DISCUSSED IN CLASS
DATA MINING [A7],DATA SCIENCE
PROGRAMMING LANGUAGES  [A36],DATA SCIENCE
COMMUNICATION SKILLS [S6],CLASS DISCUSSION
TEAM SKILLS [S13],WORK IN YOUR TEAMS
PROGRAMMING LANGUAGES  [A36],PRIOR PROGRAMMING EXPERIENCE
STATISTICS [A41],PROBABILITY AND STATISTICS
DATA VISUALIZATION [A13],DATA VISUALIZATION
TEAM SKILLS [S13],TEAM ASSIGNMENTS
COMMUNICATION SKILLS [S6],WHITE PAPER
COMMUNICATION SKILLS [S6],BUSINESS COMMUNICATION
PROJECT SKILLS [S10],FINAL PROJECT
SPREADSHEETS [A39],MICROSOFT EXCEL
TEAM SKILLS [S13],GROUP ASSIGNMENTS
STATISTICS [A41],PROBABILITY DISTRIBUTIONS
DATA MINING [A7],DATA SCIENTIST
PROGRAMMING LANGUAGES  [A36],DATA SCIENTIST
DATA-DRIVEN CULTURE [S7],DATA DRIVEN
BUSINESS ANALYTIC APPLICATIONS [S2],APPLYING CONCEPTS
DATA COLLECTION [A6],DATA SETS
SPREADSHEETS [A39],EXCEL ADD INS
DATA MINING [A7],DATA MINING
DECISION SCIENCE [A46],SENSITIVITY ANALYSIS
PROJECT SKILLS [S10],GROUP PROJECT
TEAM SKILLS [S13],GROUP PROJECT
DATA PREPARATION [A9],DESCRIPTIVE STATISTICS
DECISION SCIENCE [A46],DECISION TREES
PROJECT SKILLS [S10],CLASS PROJECT
